id,device,timestamp,RUNNING_TASKS_baseActivity_mClass,RUNNING_TASKS_baseActivity_mPackage,RUNNING_TASKS_id,RUNNING_TASKS_numActivities,RUNNING_TASKS_numRunning,RUNNING_TASKS_topActivity_mClass,RUNNING_TASKS_topActivity_mPackage
2359e0bc-a82c-4230-9adf-1a8e6dd6291e-76,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364111426,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
2359e0bc-a82c-4230-9adf-1a8e6dd6291e-76,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364111426,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,11,1,1,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco
2359e0bc-a82c-4230-9adf-1a8e6dd6291e-76,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364111426,org.bewellapp.dashBoardActivity,org.bewellapp,6,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
4cd42b3c-615d-4a76-bb6f-baaad5e98720-46,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364112626,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
4cd42b3c-615d-4a76-bb6f-baaad5e98720-46,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364112626,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,11,1,1,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco
4cd42b3c-615d-4a76-bb6f-baaad5e98720-46,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364112626,org.bewellapp.dashBoardActivity,org.bewellapp,6,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
2521c53c-41a9-4a4d-a51b-af3f76f9c724-17,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364113826,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
2521c53c-41a9-4a4d-a51b-af3f76f9c724-17,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364113826,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,11,1,1,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco
2521c53c-41a9-4a4d-a51b-af3f76f9c724-17,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364113826,org.bewellapp.dashBoardActivity,org.bewellapp,6,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
2521c53c-41a9-4a4d-a51b-af3f76f9c724-64,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364115026,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
2521c53c-41a9-4a4d-a51b-af3f76f9c724-64,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364115026,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,11,1,1,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco
2521c53c-41a9-4a4d-a51b-af3f76f9c724-64,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364115026,org.bewellapp.dashBoardActivity,org.bewellapp,6,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
9f8c9735-1b88-43b3-aa5f-6ed55ebf9287-44,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364116226,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
9f8c9735-1b88-43b3-aa5f-6ed55ebf9287-44,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364116226,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,11,1,1,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco
9f8c9735-1b88-43b3-aa5f-6ed55ebf9287-44,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364116226,org.bewellapp.dashBoardActivity,org.bewellapp,6,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
99616961-26b3-470c-8be6-955fdfab4e23-17,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364117426,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
99616961-26b3-470c-8be6-955fdfab4e23-17,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364117426,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,11,1,1,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco
99616961-26b3-470c-8be6-955fdfab4e23-17,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364117426,org.bewellapp.dashBoardActivity,org.bewellapp,6,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
99616961-26b3-470c-8be6-955fdfab4e23-66,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364118626,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
99616961-26b3-470c-8be6-955fdfab4e23-66,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364118626,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,11,1,1,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco
99616961-26b3-470c-8be6-955fdfab4e23-66,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364118626,org.bewellapp.dashBoardActivity,org.bewellapp,6,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
98a96ab8-d1d3-473c-b5b9-28f7afa6bc60-33,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364119826,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
98a96ab8-d1d3-473c-b5b9-28f7afa6bc60-33,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364119826,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,11,1,1,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco
98a96ab8-d1d3-473c-b5b9-28f7afa6bc60-33,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364119826,org.bewellapp.dashBoardActivity,org.bewellapp,6,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
12d8b5ab-943d-42cb-a2e4-5056c8505e70-17,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364121026,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
12d8b5ab-943d-42cb-a2e4-5056c8505e70-17,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364121026,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,11,1,1,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco
12d8b5ab-943d-42cb-a2e4-5056c8505e70-17,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364121026,org.bewellapp.dashBoardActivity,org.bewellapp,6,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
12d8b5ab-943d-42cb-a2e4-5056c8505e70-74,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364122226,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
12d8b5ab-943d-42cb-a2e4-5056c8505e70-74,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364122226,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,11,1,1,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco
12d8b5ab-943d-42cb-a2e4-5056c8505e70-74,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364122226,org.bewellapp.dashBoardActivity,org.bewellapp,6,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
2748cff2-f19a-45c3-999c-8992c141e557-33,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364123426,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
2748cff2-f19a-45c3-999c-8992c141e557-33,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364123426,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,11,1,1,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco
2748cff2-f19a-45c3-999c-8992c141e557-33,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364123426,org.bewellapp.dashBoardActivity,org.bewellapp,6,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
c3d6a23c-11e7-4955-9aab-c36a9be8f4c4-17,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364124626,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
c3d6a23c-11e7-4955-9aab-c36a9be8f4c4-17,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364124626,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,11,1,1,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco
c3d6a23c-11e7-4955-9aab-c36a9be8f4c4-17,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364124626,org.bewellapp.dashBoardActivity,org.bewellapp,6,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
c3d6a23c-11e7-4955-9aab-c36a9be8f4c4-92,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364125826,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
c3d6a23c-11e7-4955-9aab-c36a9be8f4c4-92,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364125826,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,11,1,1,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco
c3d6a23c-11e7-4955-9aab-c36a9be8f4c4-92,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364125826,org.bewellapp.dashBoardActivity,org.bewellapp,6,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
47957c4b-bd41-4d81-b871-c76b085a6530-34,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364127026,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
47957c4b-bd41-4d81-b871-c76b085a6530-34,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364127026,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,11,1,1,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco
47957c4b-bd41-4d81-b871-c76b085a6530-34,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364127026,org.bewellapp.dashBoardActivity,org.bewellapp,6,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
004d7feb-2b55-4a5d-b365-8ba20f87322c-17,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364128226,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
004d7feb-2b55-4a5d-b365-8ba20f87322c-17,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364128226,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,11,1,1,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco
004d7feb-2b55-4a5d-b365-8ba20f87322c-17,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364128226,org.bewellapp.dashBoardActivity,org.bewellapp,6,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
004d7feb-2b55-4a5d-b365-8ba20f87322c-61,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364129426,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
004d7feb-2b55-4a5d-b365-8ba20f87322c-61,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364129426,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,11,1,1,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco
004d7feb-2b55-4a5d-b365-8ba20f87322c-61,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364129426,org.bewellapp.dashBoardActivity,org.bewellapp,6,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
853c5008-945b-4cc1-8c34-21b7e190f007-34,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364130626,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
853c5008-945b-4cc1-8c34-21b7e190f007-34,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364130626,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,11,1,1,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco
853c5008-945b-4cc1-8c34-21b7e190f007-34,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364130626,org.bewellapp.dashBoardActivity,org.bewellapp,6,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
1602499f-4971-4169-aed3-f3372b493a52-17,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364131826,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
1602499f-4971-4169-aed3-f3372b493a52-17,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364131826,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,11,1,1,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco
1602499f-4971-4169-aed3-f3372b493a52-17,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364131826,org.bewellapp.dashBoardActivity,org.bewellapp,6,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
1602499f-4971-4169-aed3-f3372b493a52-64,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364133026,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
1602499f-4971-4169-aed3-f3372b493a52-64,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364133026,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,11,1,1,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco
1602499f-4971-4169-aed3-f3372b493a52-64,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364133026,org.bewellapp.dashBoardActivity,org.bewellapp,6,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
2ba3d295-0733-473f-8e84-3b4e8290a125-33,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364134226,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,11,2,2,com.google.android.apps.paco.PAM,com.google.android.apps.paco
2ba3d295-0733-473f-8e84-3b4e8290a125-33,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364134226,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
2ba3d295-0733-473f-8e84-3b4e8290a125-33,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364134226,org.bewellapp.dashBoardActivity,org.bewellapp,6,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
a1b24894-51f2-46b3-a527-a8ccebcdf02b-17,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364135426,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,11,2,2,com.google.android.apps.paco.PAM,com.google.android.apps.paco
a1b24894-51f2-46b3-a527-a8ccebcdf02b-17,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364135426,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
a1b24894-51f2-46b3-a527-a8ccebcdf02b-17,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364135426,org.bewellapp.dashBoardActivity,org.bewellapp,6,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
a1b24894-51f2-46b3-a527-a8ccebcdf02b-63,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364136626,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,11,2,2,com.google.android.apps.paco.PAM,com.google.android.apps.paco
a1b24894-51f2-46b3-a527-a8ccebcdf02b-63,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364136626,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
a1b24894-51f2-46b3-a527-a8ccebcdf02b-63,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364136626,org.bewellapp.dashBoardActivity,org.bewellapp,6,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
b2d6dcf5-91df-4e1b-a7c2-81f26c04cd25-34,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364137826,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,11,2,2,com.google.android.apps.paco.PAM,com.google.android.apps.paco
b2d6dcf5-91df-4e1b-a7c2-81f26c04cd25-34,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364137826,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
b2d6dcf5-91df-4e1b-a7c2-81f26c04cd25-34,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364137826,org.bewellapp.dashBoardActivity,org.bewellapp,6,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
5053ff5b-b129-43f2-9173-991c16cd7dc2-33,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364141426,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,11,2,2,com.google.android.apps.paco.PAM,com.google.android.apps.paco
5053ff5b-b129-43f2-9173-991c16cd7dc2-33,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364141426,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
5053ff5b-b129-43f2-9173-991c16cd7dc2-33,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364141426,org.bewellapp.dashBoardActivity,org.bewellapp,6,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
ea382d86-9440-4bd3-84a1-5676315877d7-17,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364139026,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,11,2,2,com.google.android.apps.paco.PAM,com.google.android.apps.paco
ea382d86-9440-4bd3-84a1-5676315877d7-17,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364139026,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
ea382d86-9440-4bd3-84a1-5676315877d7-17,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364139026,org.bewellapp.dashBoardActivity,org.bewellapp,6,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
ea382d86-9440-4bd3-84a1-5676315877d7-91,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364140226,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,11,2,2,com.google.android.apps.paco.PAM,com.google.android.apps.paco
ea382d86-9440-4bd3-84a1-5676315877d7-91,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364140226,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
ea382d86-9440-4bd3-84a1-5676315877d7-91,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364140226,org.bewellapp.dashBoardActivity,org.bewellapp,6,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
2c92fc44-2409-478f-858a-0ba5cbb733f4-17,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364142626,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,11,2,2,com.google.android.apps.paco.PAM,com.google.android.apps.paco
